tile,target,LOCAL,GLOBAL,FOREST,TARGET
S2A_MSIL1C_20200915T152641_N0209_R025_T18QYF_20200915T190255_resampled_msk,Mixed Water,16.391597858100415,16.391597858100415,8.586210410736246,16.391597858100415
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Marine Debris,820.0417295783516,820.0417295783516,820.0417295783516,820.0417295790157
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Dense Sargassum,9039.227266981528,9039.227266981528,9039.227266981528,9039.22726698236
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Sparse Sargassum,1126.5057402387322,1159.2009163327116,1159.2009163327116,1230.1907927252423
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Natural Organic Material,49.16692803940957,49.16692803940957,31.864576519453884,49.16692803931203
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Ship,18106.62739310514,18285.69919246087,17364.052770770668,18624.472276266715
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Clouds,0.0,0.0,271.7655833950266,143750.24410822225
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Marine Water,3766.154785389938,10727.185381732324,14645.573189318537,609444.0206681808
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Sediment-Laden Water,0.0,179164.64797741603,0.0,216157.02503908376
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Foam,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Turbid Water,10246.835731951058,3418.2305700665784,2268.56087373355,31275.767444736768
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Shallow Water,0.0,0.0,0.0,173912.08641213886
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Cloud Shadows,0.0,0.0,0.0,1626.5680876849929
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Wakes,25469.141617028385,59474.68942914171,36110.68652963662,155029.83770113505
S2A_MSIL1C_20200824T160911_N0209_R140_T16PCC_20200824T214439_resampled_msk,Mixed Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Marine Debris,5307.392750514676,5307.392750514676,5269.999925145106,5307.3927505192005
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Dense Sargassum,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Sparse Sargassum,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Natural Organic Material,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Ship,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Clouds,79320.3732111458,81590.53199445494,32677.75172314296,103066.39066671339
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Marine Water,136.2723976679199,250.1699133065939,0.0,4542.448129431382
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Sediment-Laden Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Foam,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Turbid Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Shallow Water,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Waves,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Cloud Shadows,0.0,0.0,0.0,26040.74728905547
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Wakes,0.0,0.0,0.0,0.0
S2B_MSIL1C_20201229T152639_N0209_R025_T18QYF_20201229T171806_resampled_msk,Mixed Water,145.3079715734032,145.3079715734032,91.59354824875842,185.96985967288342
